Title,Description,Location,Date,Price,Marketed
5 Bedroom Duplex With 2 Nos Of 2 Bedroom Flat,5 bedroom detached duplex for sale,"  Peace Estate, Baruwa, Egbeda, Alimosho, Lagos",Added on 31 Aug 2022,"₦100,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
A Quarter Plot Of Land,Residential land for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 30 Aug 2022,"₦10,000,000 ",Letsales.com.ng  07064937423 
A 30 Rooms Hotel In A Strategic Location,30 bedroom hotel / guest house for sale,"  Egbeda, Alimosho, Lagos",Added on 30 Aug 2022,"₦250,000,000 ",Letsales.com.ng  07064937423 
4 Bedroom Duplex With 2 Units Of 3 Bedroom Flat.,4 bedroom semi-detached duplex for sale,"  Glory Land Estate, Isheri., Isheri Olofin, Alimosho, Lagos",Added on 30 Aug 2022,"₦70,000,000 ",Real Estate Consultancy Firm  09044759042 
4 Numbers Of Self Contain Rooms Sitting On A 1 Plot Of Land,5 bedroom house for sale,"  Alagbada Bus-stop, Ijegun - Ikotun Road, Alimosho, Lagos",Added on 27 Aug 2022,"₦30,000,000 ",Global Ambassadors Property Management  07065456818 
Newly Built Luxury Apartment,15 bedroom flat / apartment for sale,"  Akowonjo, Alimosho, Lagos",Added on 21 Mar 2022,"₦120,000,000 ",Homeland Territory  +2348098089797 
Commercial Land,Commercial land for sale,"  Egbeda Idimu Road, Alimosho, Lagos",Added on 25 Aug 2022,"₦200,000,000 ",Maxim Concept Realtor  08100995024 
A 4 Bed Bungalow At A Good Location,4 bedroom detached bungalow for sale,"  Abule Odu, Egbeda, Alimosho, Lagos",Added on 25 Aug 2022,"₦28,000,000 ",Letsales.com.ng  07064937423 
6 Bedrooms Duplex,6 bedroom detached duplex for sale,"  Ait Estate, Alimosho, Lagos",Added on 24 Aug 2022,"₦45,000,000 ",Pyramid Bond Ltd  08096237542 
Executive Newly Built 4 Bedroom Flat On Half Plot Of Land,4 bedroom flat / apartment for sale,"  Abule Odu, Egbeda, Alimosho, Lagos",Added on 24 Aug 2022,"₦32,000,000 ",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise  07034194181 
